Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.44866E-3,35.876785494,0.657436521,0.336842105,0.352409639,0
2.45688E-3,36.122473541,0.658665893,0.335338346,0.355421687,0
2.46119E-3,36.368593011,0.659309552,0.333834586,0.358433735,0
2.46119E-3,36.860831952,0.659309552,0.329323308,0.358433735,0
2.46951E-3,37.107783111,0.660546957,0.329323308,0.36746988,0
2.46994E-3,37.354776935,0.660610315,0.327819549,0.370481928,0
2.46994E-3,37.60177076,0.660610315,0.32481203,0.370481928,0
2.47529E-3,37.849299837,0.661404151,0.32481203,0.376506024,0
2.48371E-3,38.097670497,0.662648552,0.323308271,0.379518072,0
2.50469E-3,38.348139905,0.665731967,0.321804511,0.38253012,0
2.50665E-3,38.598805355,0.666018542,0.320300752,0.385542169,0
2.53402E-3,38.852207694,0.669993784,0.318796992,0.388554217,0
2.54597E-3,39.106804565,0.671713936,0.317293233,0.388554217,0
2.55389E-3,39.362193181,0.672849123,0.315789474,0.391566265,0
2.55435E-3,39.617628424,0.672915851,0.314285714,0.394578313,0
2.56904E-3,39.874532201,0.675010595,0.312781955,0.397590361,0
2.5736E-3,40.131891847,0.67565812,0.311278195,0.40060241,0
2.57514E-3,40.389405662,0.675876815,0.309774436,0.403614458,0
2.57514E-3,40.904433293,0.675876815,0.305263158,0.403614458,0
2.57667E-3,41.162100181,0.676093806,0.305263158,0.412650602,0
2.57667E-3,41.419767069,0.676093806,0.302255639,0.412650602,0
2.57952E-3,41.67771873,0.676497107,0.302255639,0.418674699,0
2.57952E-3,41.935670391,0.676497107,0.29924812,0.418674699,0
2.5826E-3,42.193930613,0.676933531,0.29924812,0.424698795,0
2.58461E-3,42.452391949,0.677217665,0.297744361,0.424698795,0
2.58544E-3,42.710935786,0.67733415,0.296240602,0.427710843,0
2.58787E-3,42.969722305,0.677676557,0.294736842,0.430722892,0
2.58787E-3,43.487295344,0.677676557,0.290225564,0.430722892,0
2.58943E-3,43.746238492,0.677897356,0.290225564,0.439759036,0
2.61814E-3,44.525938395,0.681917141,0.285714286,0.448795181,0
2.62098E-3,44.788036714,0.682313107,0.284210526,0.448795181,0
2.62293E-3,45.05032935,0.68258307,0.282706767,0.451807229,0
2.63485E-3,45.313814821,0.684235257,0.281203008,0.454819277,0
2.63944E-3,45.577759105,0.684868463,0.279699248,0.457831325,0
2.64688E-3,45.842447494,0.685892702,0.278195489,0.460843373,0
2.66157E-3,46.108604003,0.687903771,0.276691729,0.463855422,0
2.67108E-3,46.375711914,0.689200145,0.27518797,0.463855422,0
2.67175E-3,46.642887261,0.689291828,0.273684211,0.46686747,0
2.67409E-3,46.910296723,0.68960991,0.272180451,0.469879518,0
2.6744E-3,47.177736635,0.689651259,0.270676692,0.472891566,0
2.68335E-3,47.446071336,0.690863816,0.269172932,0.475903614,0
2.68934E-3,47.715005002,0.691672845,0.267669173,0.478915663,0
2.69506E-3,47.984511252,0.692444259,0.266165414,0.481927711,0
2.69756E-3,48.254266817,0.692779548,0.264661654,0.484939759,0
